System Size (kW),System Size (W),Depth (ft),Depth (m),Platform Volume (m3),Platform Cost ($),Anchor Cost ($),Number of Systems,Operation Cost ($)
9,9000,57.49344,17.52400051,0.294117647,1681.285823,360.12032,111.1111111,171261.4034
30,30000,18.12336,5.524000128,0.980392157,2872.776078,577.17008,33.33333333,72300.10399
30,30000,24.68504,7.524000192,0.980392157,2872.776078,596.85512,33.33333333,73533.52919
30,30000,31.24672,9.524000256,0.980392157,2872.776078,616.54016,33.33333333,75128.95439
30,30000,37.8084,11.52400032,0.980392157,2872.776078,636.2252,33.33333333,77318.37959
30,30000,44.37008,13.52400038,0.980392157,2872.776078,655.91024,33.33333333,80616.80479
30,30000,57.49344,17.52400051,0.980392157,2872.776078,695.28032,33.33333333,84019.65519
60,60000,18.12336,5.524000128,1.960784314,4252.53982,1055.97008,16.66666667,54903.65823
60,60000,24.68504,7.524000192,1.960784314,4252.53982,1075.65512,16.66666667,55520.37083
60,60000,31.24672,9.524000256,1.960784314,4252.53982,1095.34016,16.66666667,56318.08343
60,60000,37.8084,11.52400032,1.960784314,4252.53982,1115.0252,16.66666667,57412.79603
60,60000,44.37008,13.52400038,1.960784314,4252.53982,1134.71024,16.66666667,59062.00863
60,60000,57.49344,17.52400051,1.960784314,4252.53982,1174.08032,16.66666667,60763.43383
120,120000,18.12336,5.524000128,3.921568627,5609.196652,2013.57008,8.333333333,41096.37648
120,120000,24.68504,7.524000192,3.921568627,5609.196652,2033.25512,8.333333333,41404.73278
120,120000,31.24672,9.524000256,3.921568627,5609.196652,2052.94016,8.333333333,41803.58908
120,120000,37.8084,11.52400032,3.921568627,5609.196652,2072.6252,8.333333333,42350.94538
120,120000,44.37008,13.52400038,3.921568627,5609.196652,2092.31024,8.333333333,43175.55168
120,120000,57.49344,17.52400051,3.921568627,5609.196652,2131.68032,8.333333333,44026.26428
